Data,Rating,Titolo,Testo,Locale,Etichetta
2020-10-04,10,servizio pessimo. abbiamo,servizio pessimo abbiamo aspettato 1 ora e mezzo per il pranzo meta menu per il brunch era terminato avocado toast senza avocadon con salsa di cetriolo non precisato nel menu uno schifo di servizio fortemente sconsigliato,melzideril,neg
2020-09-27,40,alla faccia dell'aperitivo!,sono stata a un aperitivo durante una festa di laurea locale particolare ma non molto grande ci hanno portato un sacco di cose olive polpette verdure impanate pizze al trancio patatine fritte ecc abbiamo mangiato tantissimo perché hanno continuato a portarci stuzzichini e vino fino a tarda sera il servizio non è dei più attenti ma il personale è comunque gentile voglio precisare che non avendo pagato io non conosco i prezzi,melzideril,pos
2020-08-08,10,cos'è successo??,vengo spesso qui con mia moglie e la mia famiglia e soprattutto non sono abituale a lasciare recensionia quello successo l altro giorno mi ha lasciato di stucco caldo venerdi pomeriggio di agostoprima delle vacanze decidiamo di andare a fare un aperitivo ci troviamo uno spettacolo davvero brutto a vedersilocale totalmente vuotomusica da discoteca e camerieri seduti sul bancone capisco il locale vuotoma vedere gente seduta sulla bancone e farsi beatamente gli affari propri fa passare decisamente la vogliainoltre avevo un ricordo di un locale elegantema evidentemente il cambio personale ha fatto decisamente male al locale,melzideril,neg
2020-07-17,30,"qualità ok, resto migliorabile",apertivo pomeridiano in un ottima location barman molto disponibile e preparato come aperitivo non un ampia scelta ma stuzzichini e pizzette molto buone tutto bene fino al momento del pagamento quando la ragazza alla cassaforse troppo impegnata a mandare messaggini ignora le nostre richieste per diverse volte finche non ci siamo dovuti alzare per andare a pagare peccato basta poco impegno in più,melzideril,neg
2020-07-17,40,aperitivo,prima volta nella sede in via melzi ma solita qualità pandenus locale molto curato cocktail e stuzzichini per l aperitivo molto graditi unico neo l insistenza della ragazza a portare pizza e verdureanche se non richiesti ci saremmo volentieri fermati a cena,melzideril,pos
2020-06-15,20,ocho,dico solamente una cosa se hai la cucina a vista ti prego fai mettere un cappello o una bandana a chi lavora in cucina grazie,melzideril,neg
2020-01-14,50,a me piace,nonostante recensioni non belle io qui mi sento a casa  bravissima la ragazza biondina  buon cibo bell atmosfera,melzideril,pos
2019-12-19,30,"carino, ma migliorabile",posto carino e personale gentile buon aperitivo con stuzzichini di qualità nonostante la poca scelta buoni i maccheroncini cacio e pepe anche se il sugo è un po troppo pesante buona scelta di rossi al bicchiere,melzideril,neg
2019-12-17,10,aperitivo scarso,con i colleghi abbiamo provato pandenus il locale sarà anche carinoil personale cortesema se una tavolata di 10 persone prende dieci cocktailsnon mi puoi portare 4 piattini miserabili di pizza pezzetti della dimensione 3 x 3 cm 2 pezzetti scarsi a testa quattro olive e della verdura in pinzimonio non lo accetto ogni volta che faccio aperitivo a milano non ceniamo meno male che nei pressi cè mamma burger grazie mamaci hai salvato la vitae la serata,melzideril,neg
2019-12-08,30,suggestivo,posto carino e tranquillo dove fermarsi a bere un caffè peccato per il personale camieri poco disponibili e non propriamente gentili nei confronti dei clienti,melzideril,neg
2019-12-07,20,prodotti ottimo servizio tragico,la qualità dei prodotti offerta è ottima ma credo abbiamo fatto un concorso per assumere il personale più antipatico possibile nessuno che ti guarda in faccia a locale vuoto un buongiorno un sorriso pare che sono lì per farti un favore contro voglia veramente no,melzideril,neg
2019-11-12,50,ottimo aperitivo,sono stato al pandenus melzi deril diverse volte sia durante il giorno che la sera indiscutibile la qualità dei prodotti e la ricerca degli abbinamenti sia del cibo che dei cocktails durante laperitivo serale il personale è disponibile e professionale si distingue per gentilezza e competenza nel consigliare e proporre alternative ai drink più tradizionali completando il servizio con simpatia e rispetto per il cliente,melzideril,pos
2019-11-03,20,buono ma molte cose da migliorare,indiscutibile la qualità dei piatti ma nel menù mancano le indicazioni degli allergeni cosa molto grave a mio parere non basta fare riferimento ad una normativa anzi peggio perché pur essendo a conoscenza di quello che dice non viene rispettata inoltre il menù brunch non è un brunch bensì un buon piatto abbondante ma si limita a quello senza inclusione di dolci o bevande di conseguenza non è un menù,melzideril,neg
2019-11-03,10,mai più gae aulenti,non essendoci possibilità di recensione per pandenus piazza gae auelenti scrivo qui  ci fanno accomodare in un tavolino con due tovagliette di carta su cui e stampato il menudopo 10 minuti e sotto richiesta ordiniamo cio che viene offerto dalla descrizione sulla tovaglietta per nostra fortuna si siede accanto a noi una coppia che fa notare che il nome dei menu sulla tovaglietta non corrispondono assolutamente a cio che viene indicato sulla lista menuci accorgiamo che con lo stesso nome il menu stampato sulla tovaglietta e a base di pesce mentre quello sulla lista ripeto con lo stesso nome e vegetariano richiamiamo la ragazza scocciata per chiedere spiegazioni e ci viene detto che le tovagliette di carta sono di un altro ristorantecambiamo ordinazione e chiediamo due menu hamburger ci vengono portati due panini stile mac donald ma con hambuger completamente crudo e patatine frittenulla di piubeviamo due birre alla spina piccoletotale 52 eurouna vera follia  menu hamburger 16 euro a testa piu un euro per bacon birra 6 euro cadauna e coperto 3 euro cadaunoda mac donald avremmo speso un terzo per lo stesso menu da evitare e veramente assurdo il costo del coperto 3 euro a testa per una tovaglietta di carta neppure del loro ristoro6 euro per un bicchierino di birra e 17 euro per un comune paninoevitare assolutamente,melzideril,neg
2019-10-27,20,il brunch non brunch,sono stata da pandenus melzi deril diverse volte sia per aperitivi che per il brunch ne ho sempre apprezzato la qualità e il fatto che il brunch prevedesse il mix classico di caffè aranciata acqua toast croissant marmellate  parte salata da ordinare a scelta oggi ho scoperto che la gestione è cambiata il brunch si chiama ancora così ha gli stessi prezzi stessi nomi dei piatti principali ma non il contorno brunch quindi cè solo il piatto principale salato  il brunch è diventato un lunch ma non finisce qui prenotato e arrivata per le 1330 locale non particolarmente pieno sono venuti a chiedere ordinazione dopo solleciti alle 13 55 acqua e spremute portati alle 1410 centrifuga alle 1430 piatti portati abbastanza celermente alle 1420 ma ormai eravamo decisamente innervosito dai 50 minuti di attesa qualità buona ma toast dellavocado toast decisamente freddo mai visto il pane mai visti condimenti per insalata ma pagati 4 euro per coperto e 4 per lacqua toilette sporca prima era sempre tutto curato e pulito e preciso cheese cake buona brownie prima una delle specialità del locale era mediocre e panna un po rancida insomma adios pandenus,melzideril,neg
2019-10-06,10,è il caso di correre ai ripari..,brunch domenicale cameriera ci accoglie con aria scocciata ordiniamo chiedendo una piccola modifica uova strapazzate al posto delle benedict riposta non so se è possibile chiedi in cucina no arrivano benedict senza nessun commento sicuro si è dimenticata di chiedere  piatti in tavola bevande non pervenute per 5 minuti chiedo di portarle risposta piccata della cameriera  arrivano si erano persi lordine omelette arrivata fredda patate salatissimeogni nostra richiesta pane acqua etc viene accolta da musi lunghi e attese ingiustificate un vero peccato il locale era mezzo vuoto adesso ho capito il perché sono cliente da anni ed un trattamento del genere non lho mai ricevuto forse la ragazzina che ci ha servita avrebbe bisogno di un po di formazione su come si tratta un clientenon basta prendere ragazze carine per far lavorare un locale,melzideril,neg
2019-09-26,20,cibo buono ma personale rivedibile,la qualità del cibo è sempre di buon livello ma la nuova gestione si caratterizza per lestrema maleducazione nei confronti dei clienti sia al bancone che ai tavoli e leggendo le ultime recensioni vedo che non sono il primo ad averla riscontrata nota di encomio sono ironico per una cameriera che è venuta a pulire il nostro tavolo dalle tazzine che avevano lasciato i clienti precedenti senza degnarci neppure di un buongiorno e soprattutto sbattendo volontariamente le stoviglie nel vassoio con aria scocciatissima io dico che se qualcuno non è capace di rapportarsi con il pubblico deve svolgere mestieri decisamente più adatti,melzideril,neg
2019-09-15,10,da evitare!,pandenus gae aulenti pessima esperienza  arriviamo in due alle 1730 di domenica ci accomodiamo e laccoglienza è quella di un barettino gestito da cinesi in periferia chiediamo di ordinare un ginseng ed un cappuccino con latte di mandorla ci viene risposto che la caffetteria è chiusa a quellora  chiedo spiegazioni ad un tipo con la barba sulla cinquantina che mi guarda con aria di sufficienza prova a spiegare senza logica il motivo ridicolo perché la sua logica non esiste nemmeno in città come new york parigi o londra quindi cerchiamo di volare basso perché così facendo si perde lo standard a cui aspirate e dal quale si è lontani anni luce,melzideril,neg
2019-09-02,30,colazione,a colazione con famiglia qualità elevata locale pulito ordinato ed accogliente personale qualificato lo consiglio,melzideril,neg
2019-08-07,10,ridateci la vecchia gestione!!,siamo stati assenti 3 mesi per motivi di lavorotorniamo in questo posto che abbiamo sempre frequentato con piacere per qualità e varietà del cibo e per la simpatia delle ragazze e troviamo una nuova gestionepersonale con aria di sufficienza quasi ci stesse facendo un favorenon un sorriso per sbaglio molta freddezzaprodotti pochi forse per il periodo ma quello che davvero mi ha lasciato una brutta sensazione è latteggiamento scazzato della ragazza che credo sia la titolareresponsabile ci sono andata due volte xche ritenevo di riprovare nullastessa sensazione di tristezza addosso mi spiace ma non ci torneremo,melzideril,neg
2019-07-20,10,sconcertante!,abito nelle vicinanze e sono andata spesso a prendere pane e pizza che reano di ottima qualità specialmente la pizza al metro con 10 euro prendevi 1 metro di pizza oggi di ritorno dalle vacanze ci fermiamo per acquistarla e troviamo il locale cambiato  neanche tanto con tutti i dipendenti cambiati quindi è cambiata la gestione mio marito ha ordinato una pizza grande da 10 euro e questo è il risultatofoto una pizzetta invisibile allucinantecon 10 euro in pizzeria ne compro almeno 2 moooolto più grosse mio marito ha chiesto spiegazioni e gli hanno detto che dal 21 giugno le fanno cosìallora perché non ce lha detto prima ladri avete perso un ottimo cliente che essendo custode farà girare tantissimo la voce allibiti,melzideril,neg
2019-07-03,10,che delusione,ho frequentato per diversi anni questo locale ha cambiato da poco gestione e la qualità è peggiorata laperitivo non è per nulla buono e frescole carote erano nere e appassite il resto del cibo era di scarsa qualità ed inoltre cè pochissima varietà di scelta concludendo consiglio di non andare proprio lì vicino ci sono diversi locali per fare aperitivo dove cè molta più scelta e qualità come ad es bhangrabar,melzideril,neg
2019-07-03,50,tutto molto buono,locale molto accogliente con personale gentilissimo e preparatoottimo per cena con varietà e ricercatezza dei piatti,melzideril,pos
2019-07-01,20,cambiata gestione...ahia,dal 20 giugno 2019 è aperto con la nuova gestione e addio a quei piatti interessanti tipo insalate di legumi farro quinoaadesso cè un menù molto più banale oltretutto prendendo uninsalata nizzarda banale appunto e pure una porzione molto ridotta acqua e caffè ho speso a pranzo infrasettimanale 18 il servizio è molto attento e gentile,melzideril,neg
2019-06-30,20,peccato!,andavo spesso a fare colazione con amici o famiglia è bastato poco a cambiare un locale caldo e familiare in un bar come con nulla di speciale personale sorridente e sempre premuroso è stato spazzato via e sostituito con ragazzi annoiati e non sempre gentile peccato,melzideril,neg
2019-06-26,20,dove sono finiti i dipendenti precedenti?,sono diversi anni che frequento questo bar e mi trovavo molto bene con i precedenti dipendenti il ragazzo che faceva i cappuccini e i caffè era una persona molto solare e gentile e lo stesso vale per gli altri dipendenti che avevano instaurato con la clientela abituale un bellissimo rapporto sono perciò rimasta molto colpita da questo cambio repentino che ha spazzato via in un attimo anni di servizio e di rapporti umani non so quali siano le politiche aziendali ma credo che la clientela abituale vada salvaguardata e no ci si può basare su chi fa recensioni pessime solo per denigrare se si vuole verificare un servizio si va sul posto in diversi orari e in diversi giorni,melzideril,neg
2019-06-24,20,aperitivo un po’ deludente,ha cambiato gestione da qualche giorno locale rinnovato carino aperitivo un po deludente è un po caro 12 euro per uno spritz e da mangiare solo pizza seppur buonaqualche verdurina cruda olive e ananas,melzideril,neg
2019-06-18,20,caro,aperitivo caro 12 euro per un scarso drink con qualche verdura olive e tre pezzi di pizza il personale però è gentile,melzideril,neg
2019-05-28,10,scorretto,mancano 10 minuti alla fine dellaperitivo a buffet e infatti rimangono sul bancone qualche tarallo e poco altro ma non siamo interessati e chiediamo infatti se possiamo soltanto bere un bicchiere di vino o una birra prima di andare a cena ma certo non cè problema mentre stiamo ordinando il buffet viene smontato e poi pulito con generose spruzzate di detersivo tempo 10 minuti vado a pagare 18 forse il direttore dovrebbe fare più attenzione ai suoi clienti piuttosto che alla fidanzataamicasorella con bambino e sedersi al tavolo con loro sbaglio,melzideril,neg
2019-03-26,40,davvero carino,ho scelto il posto x una festa di compleanno e devo dire che siamo stati bene il locale non è molto grandema accogliente il buffet non esagerato come sceltama di buona qualità e con la prenotazione al tavolo ti portano teglie di pizzapatatine e polpettonetutto buono sui cocktail nulla da dire e anche i dolci sono di qualità forse un po troppo rumorosoma di sabato sera il locale è pienoanche perché si trova in una zona molto frequentata,melzideril,pos
2019-03-18,30,pausa domenicale,il locale è carino belli i tavoli ma scomode le sedute offre di tutto un po adatto perciò sia per un pranzo una pausa caffè e per un aperitivo tranquillo migliorare un attimino la qualità dolci troooppo dolci la mia monoporzione di pistacchio e cioccolato non sapeva di pistacchio migliorare poi la formazione del personale che anche se cordiale non sapeva quali dolci ci fossero e cosa fossero e non sapeva che the avessero disponibili comunque da tenere in considerazione se siete in zona e volete evitare il via vai dell arco della pace,melzideril,neg
2019-01-23,40,posto molto carino e cibo di ottima qualità,il locale è davvero accogliente ed il personale è cortese e professionale abbiamo provato varie tipologie di cibo ed il livello è davvero buono il posto giusto dove perdere un pò di tempo ps non fanno insalatema verde con tante cose ,melzideril,pos
2019-01-20,10,visita breve.,dal 1951 è la prima volta che vengo cacciato da un bar per liberare un tavolo che per altro mi avevano indicato loro imbarazzante,melzideril,neg
2018-12-04,50,super consigliato!,il posto è intimo ed elegante il buffet non ricchissimo ma di qualità ma la vera bellezza del locale è data dal personale fantastico super cortesi simpatici gentili e disponibilissimi cè stato anche offerto del prosecco tra sorrisi e tanta cortesia abbiamo proprio trascorso una serata piacevole da ripetere,melzideril,pos
2018-11-17,50,sera tra amici,milanesi questo e il posto che fa per noi grazie alla sua posizione strategica questo posto e per tutti quelli che amano la zona dellarco della pace ma che odiamo il baccano che si crea durante le ore serali il cibo dellhappy hour e molto buono la loro ciliegina sulla torta sono però le polpette e la pizza prezzo nella norma per i prezzi di milano il personale e molto simpatico e disponibile e il locale e molto pulito,melzideril,pos
2018-10-28,20,sconsigliato,brunch domenicale 4 proposte microporzioni di tutto per 25 euro decisamente troppi sgabelli di metallo che garantiscono il mal di schiena e brutta musica a tutto volume cortese il personale ma non basta,melzideril,neg
2018-10-17,50,di passaggio a milano il giorno 16/10/2018,locale molto gradevole personale molto efficiente e gentile ho sorbito un caffè e acquistato dei dolcetti per mia moglie rimasta in auto che per il breve trasportosono stati posati su un piccolo vassoio di cartone e infilati in un sacchetto di carta servizio davvero eccellente,melzideril,pos
2018-09-29,10,arroganza e svogliatezza,vado spesso al mattino presto a prendere il pane e ogni volta devo subire i malumori del personale che discute animatamente in cucina e in mezzo al banco specialmente la signora che vende il pane dovrebbe cambiare mestiere invece di rivolgersi così ai clienti sempre con la bocca piena e lo sguardo da sufficiente peccato perche eproprio un bel locale,melzideril,neg
2018-09-28,50,sempre una garanzia,quando sono in zona vengo sempre qui per pranzo ragazzi carinibei piatti e buona qualitàsimpaticissima la ragazza bionda con i capelli biondi e gli occhi azzurri,melzideril,pos
2018-09-26,10,basita,personale indecente una chiacchiera continua personale e privata dietro al bancone a portata dorecchio del cliente accoglienza zero appena uno sguardo dopo mezzo minuto dal mio ingresso forse gradiscono solo gli habitués,melzideril,neg
2018-09-13,40,"bello, mi piace",lavorando in piazza gae aulenti ogni tanto ci vado premetto che la mia frequentazione e pertanto il mio giudizio si limita alla colazione personalmente mi piace perché cappuccino e caffé sono buoni ed i dolci invitanti i ragazzi dello staff gentili e sorridenti inoltre avendo la mia azienda una convenzione ho un piccolo sconto detto questo mi trovo bene e continueró ad andare e sicuramente proveró un aperitivo,melzideril,pos
2018-09-13,40,brunch domenicale,locale carino molto buono il brunch con piatto unico a scelta ttra quattro proposte anche se un pò caro per un unico piatto 25 euro a personaincluso un bicchiere di succo e una bibita calda,melzideril,pos
2018-09-08,10,locale da evitare,da evitare solo 3 olive x 3 persone e 3 ciliegine di mozzarella un pezzetto di focaccia e mandorle salate abbiamo dovuto ordinare una pizza per non morire di fame,melzideril,neg
2018-08-22,20,delusione totale,mi sono trovata per colazione un sabato mattina con amici e con grandissima delusione abbiamo constatato che i tavoli non vengono puliti bene tra un cliente e quello successivo il servizio è scadente cameriera maleducata e scontrosa sono dovuta andare a ordinare in cassa per riuscire ad avere quello che desideravano cappuccio caffè e spremuta insalata di frutta tagliata forse il giorno prima persino la qualità dei dolci è pessima ho preso una mini torta di mele da portare a casa ed era decisamente stantìa,melzideril,neg
2018-07-18,40,piacevole bar,ambiente piacevole e caldo personale gentile ottimo caffè e cappuccio acqua gratis prezzi onesti,melzideril,pos
2018-07-13,50,aperitivo,eccellente vini di alta qualità e personale delizioso attento e professionale la qualità si paga ma certo il bicchiere di muller che ho bevuto qui è allo stesso livello di quello del trentino bravi e buoni meglio un aperitivo non tutte le sere ma di qualità grande staff  roberta moro,melzideril,pos
2018-07-10,20,deludente,aperitivo di lunedì sera locale semivuto buffet veramente triste due tipologie di insalata di riso e cous cous con lo stesso sciapo sapore il resto del buffet misero nulla di che peccato,melzideril,neg
2018-07-09,10,il peggior posto di milano,sembra non abbiano idea dei prezzi chiedono cifre astronomiche per un bicchiere di vino di scarsa qualità a me hanno chiesto 12 eur per un bianco quindi per due 24 eur non dico altro camerieri incompetenti su tutto cibo scarsissima qualità chi vuole andare vada pure io mai più,melzideril,neg
2018-07-07,30,un pranzo anonimo,carino e invitante pranziamo con un amica per la prima volta al pendenus ci ero stata qualche volta per aperitivo e colazione ok nulla entusiasma piattini pronti che vengono scaldati al microonde prezzi alti come ovunque in zona non mi ha convinto per il pranzo in zona ce di molto meglio,melzideril,neg
2018-06-27,50,il risveglio mattutino!,locale molto bello accogliente con personale amichevole che ti rallegra la giornata la qualità dei prodotti è molto buona consiglio per una buona colazione e un brunch la serata meravigliosa con stupendi cocktail consigliatissimo,melzideril,pos
2018-06-26,20,pandenus gae aulenti - pessimo,non essendoci pandenus di gae aulenti recensisco qui la nostra esperienza passata là eravamo un gruppo di 10 persone e non avendo accettato una ns prenotazione telefonica ci siamo presentati al locale cercando un tavolino senza tante pretese alle 20 ci offrono appunto un tavolino con 23 sedie proponendoci di passarcele man mano che la gente si alzava così accettiamo e dopo unora eravamo seduti in 7 e 3 bevevano in piedi i camerieri infastiditi dalle nostre richieste nel chiedere delle sedie che ormai erano vuote ci dicevano che arrivava gente e non potevamo detto questo parliamo dell aperitivo dunque la formula prevede 12 a bevuta ma si presuppone che ci sia poi un aperitivo beh a noi il cameriere si è scusato dicendoci che le alzatine con la pizza non era sicuro arrivassero ma che ci sarebbero state tante olive wow che delizia  olive portate n6  alla fine portata pure alzatina con n 8 quadratini 3x3cm di pizza ricordo che eravamo in 10 che dire un disastro do 2 punti e non 1 solo perchè hanno avuto la decenza di non farmi pagare 12 la coca cola ma un locale serio a non avrebbe mai permesso un trattamento simile b avrebbe offerto o si sarebbe comunque scusato per laccaduto così non è stato pertanto eccomi a scrivere,melzideril,neg
2018-06-24,10,gae aulenti da evitare..,provato gae aulenti location a parte aperitivo pessimocaro e inesistente 9 euro una birra 3 pezzi microscopici di focaccia non si commenta,melzideril,neg
2018-06-07,20,aperitivo scarso,buffet per laperitivo abbastanza scarso durante lorario di aperitivo la consumazione 10 euro il menù ha una decina di cocktail e niente più praticamente seduto a bordo strada di fianco allauto parcheggiata ed al viale trafficato non credo che tornerò,melzideril,neg
2018-06-01,10,da evitare,posto assolutamente da evitare il più caro di milano senza averne le qualità due bicchieri di vino bianco fermo 24 euro e un buffet scarso mai più,melzideril,neg
2018-05-31,10,il peggior locale di milano,oltre ad avere un buffet per laperitivo davvero triste e con ingredienti vecchiabbiamo preso in 2 persone 9 bicchieri di vino e ci hanno portato un conto di 90 euro capisco pagare la prima consumazione 10 euro ma le altre o almeno farci pagare 2 bottiglie e non a singola consumazionedavvero incredibile mai mai mai più,melzideril,neg
2018-04-23,50,assolutamente consigliato,pizza deliziosa e servizio eccellente uno dei migliori aperitivi di milano inmancabile appuntamento con gli amici,melzideril,pos
2018-04-21,20,pessima organizzazione e scortesia,poiché consigliato da unamica sono andata un sabato sera a fare un aperitivo entriamo per chiedere un tavolo e ci dicono di aspettare una mezzora noi però vediamo un tavolo libero fuori senza sedie e chiediamo se ci possiamo sedere e chiediamo se ci possono dare delle sedie e ci rispondono che non ce ne sono più nonostante allinterno ce ne fossero molte allora abbiamo dovuto prendere noi la decisione di spostare le sedie ordiniamo e andiamo a prendere il cibo molto buono devo dire ma i drink non arrivavano mai  entro a chiedere e il barman si rivolge in modo scortese e scocciato purtroppo se fossero meglio organizzati e più gentili sarebbe tutto un altro locale,melzideril,neg
2018-04-08,50,ottimo brunch domenicale,ottimo posto per un brunch domenicale propongono 4 menù molto interessanti e aperti a modifiche porzioni davvero abbondanti e buona qualità forse un po costoso ogni menu 25,melzideril,pos
2018-04-07,10,al conto ho dato 1,unica nota positiva così ce la togliamo locale carino purtroppo invoglia ad entrare  entro con due amici per un bicchiere di vino dopo cena  innanzitutto il servizio è allucinante palesemente gestito da gente che non ha interesse che il posto vada bene tempo due secondi da quando ti siedi e senza nemmeno portare un menu il cameriere inizia a mettere lansia per far ordinare nonostante il posto sia vuoto quindi non mi spiego la fretta alle 23 con il locale che chiude all1 iniziano ad apparecchiare per la colazione anche sui tavoli occupati e a pulire in giro  verso le 23 e 30 dati i vari messaggi subliminali che cantano allunisono fuori dai c paghiamo ora a me piace il vino e sono disposto a pagare 750 per un calice ma  primo non per un chianti assolutamente normale  secondo se devo pagare un prezzo fuori mercato voglio averlo letto prima dalla carta dei vini,melzideril,neg
2018-04-06,10,prezzi folli e scortesia,ci torno ogni volta e ogni volta mi maledico il locale vuoto il venerdì sera allarco della pace dovrebbe fare capire ai gestori che trattare a pesci in faccia i clienti non paga  siparietto io scusi quanto viene uno spritz cameriere1 oh quanto viene uno spritz a questora sei sette cameriera2 nove  ah spritz terribile,melzideril,neg
2018-04-04,30,post cena,siamo venuti qui dopo cena e abbiamo preso qualche birra e qualche fetta di torta lamponi e cioccolato fondente buona i prezzi sono sopra la media ma il locale e in centro a milano il locale e tranquillo e il servizio e buono,melzideril,neg
2018-03-26,10,pessimo servizio! mai più!,non entro nel merito del cibo discreto ma il servizio è veramente da rivedere siamo state domenica per il brunch e dopo averci messo fretta per ordinare in malo modo ed insinuando che non avremmo fatto in tempo visto che dovevamo lasciare il tavolo alle 1330 ed erano già le 1215 10 minuti di ritardo nostro e altri 34 minuti per andare in bagno dopo la stramilano e prima di noi aveva appena ordinato un tavolo di 22 persone come se fosse un problema o meglio colpa nostra e le ordinazioni sarebbero andate per le lunghe inoltre su 5 persone 1 di noi non ha preso il menù brunch ma solo una fetta di torta presente nel menù proposto tra laltro ed è stata ripresa in malo modo perchè alla domenica ci si può sedere solo se fai il brunch e che quindi avrebbero potuto assegnarci un tavolo più piccolo in tutto questo abbiamo dovuto sollecitare più volte noi le cameriere per ricevere le bevande il caffè e il dolce finale ma alle 1330 ci hanno chiesto sempre con molta gentilezzadi alzarci rimasti in fila per quasi 15 minuti alla cassa per pagare il locale è rimasto vuoto rimango sbalordita quando vai in un posto e paghi e vieni trattato come se stessi facendo un dispetto,melzideril,neg
